,Pole ID,Install Pole Date,Install Light Date and Time,Install Light Date,Street Light installed month,Street Light installed year,Street Light installed month and year,Head Style,Refractor,Light Type,Bracket Length,Pole Height,Pole Type,Number of Lights,Light Source,Wattage,Year 1 LE,Street Name,Neighbourhood
990,2061676,,2017/06/27 00:00:00+00,6/27/2017,June,2017,17-Feb,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,85,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
991,2055140,,2017/05/23 00:00:00+00,5/23/2017,May,2017,17-Jul,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,75,MARCH ROAD,Kanata-Katimavik-Hazeldean
992,2069050,,2017/05/24 00:00:00+00,5/24/2017,May,2017,17-Dec,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,122,MARCH ROAD,Kanata-Katimavik-Hazeldean
993,11416080,2008/09/01 00:00:00+00,2017/10/10 00:00:00+00,10/10/2017,October,2017,19-Feb,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,34,APPLECROSS CRESCENT,Kanata
994,2054914,,2017/06/27 00:00:00+00,6/27/2017,June,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Kanata-Katimavik-Hazeldean
995,2061053,,2017/06/27 00:00:00+00,6/27/2017,June,2017,18-Apr,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Kanata
996,2069793,,2017/05/24 00:00:00+00,5/24/2017,May,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,MARCH ROAD,Kanata
997,2055160,,2017/05/23 00:00:00+00,5/23/2017,May,2017,17-Feb,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,85,MARCH ROAD,Kanata-Katimavik-Hazeldean
998,11416133,2008/09/01 00:00:00+00,2017/10/10 00:00:00+00,10/10/2017,October,2017,17-Jul,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,57,APPLECROSS CRESCENT,Kanata-Katimavik-Hazeldean
999, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,17-Jun,L40U, ,SL,1.4,9.1,MADISON,1,LED,55,0,INDICA STREET,Kanata
1000,2069345,,2017/05/24 00:00:00+00,5/24/2017,May,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,MARCH ROAD,Kanata
1001,15446880,2015/11/26 00:00:00+00,2017/09/05 00:00:00+00,9/5/2017,September,2017,17-Feb,LGCJ-2, ,SL,1.8,9.1,HAMPTON,1,LED,68,61,ROGER NEILSON WAY,Kanata-Katimavik-Hazeldean
1002, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,17-Jun,L40U, ,SL,1.4,9.1,MADISON,1,LED,55,0,VIVERA PLACE,Stittsville - Basswood
1003,2061064,,2017/06/28 00:00:00+00,6/28/2017,June,2017,17-Feb,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Kanata
1004,2071566,,2017/06/28 00:00:00+00,6/28/2017,June,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,73,TERRY FOX DRIVE,Kanata
1005,2055141,,2017/05/23 00:00:00+00,5/23/2017,May,2017,17-Jun,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,75,MARCH ROAD,Kanata-lakes
1006,133310G,,2018/11/19 00:00:00+00,11/19/2018,November,2018,17-Feb,GCJ220H 3K, ,SL,2.4,9.1,HAMPTON,1,LED,68,55,ALON STREET,Kanata-Katimavik-Hazeldean
1007,11416138,2008/09/01 00:00:00+00,2017/10/10 00:00:00+00,10/10/2017,October,2017,19-Feb,A01, ,SL,1.8,9.1,HAMPTON,1,LED,64,57,APPLECROSS CRESCENT,Kanata
1008, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,19-Feb,L40U, ,SL,1.4,9.1,MADISON,1,LED,55,0,VIVERA PLACE,Kanata-lakes
1009,2055267,,2017/05/23 00:00:00+00,5/23/2017,May,2017,17-Jul,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,97,MARCH ROAD,Stittsville
1010, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,18-Sep,L40U, ,SL,1.4,9.1,MADISON,1,LED,55,0,VIVERA PLACE,Kanata-Katimavik-Hazeldean
1011,2061081,,2017/05/23 00:00:00+00,5/23/2017,May,2017,20-Jan,GCL160G, ,SL,2.4,11.2,ALUMINUM,1,LED,135,122,MARCH ROAD,Kanata-Katimavik-Hazeldean
1012, ,2019/06/12 00:00:00+00,2019/06/12 00:00:00+00,6/12/2019,June,2019,17-Jul,LNX1, ,PL,0,6.1,HAMPTON,1,LED,27,0,VIVERA PLACE,Kanata-Katimavik-Hazeldean
1013,2054918,,2017/09/05 00:00:00+00,9/5/2017,September,2017,17-Jul,GCL160G, ,SL,3,9.8,DAVIT-ALUMINUM,1,LED,135,122,CAMPEAU DRIVE,Kanata-Katimavik-Hazeldean
1014,2062963,,2017/08/27 00:00:00+00,8/27/2017,August,2017,17-Jul,GCL160G, ,SL,1.8,11.2,ALUMINUM,1,LED,135,122,MARCH ROAD,Kanata-Katimavik-Hazeldean
1015,2068335,,2017/08/27 00:00:00+00,8/27/2017,August,2017,19-Jan,GCL160G, ,SL,1.8,11.2,ALUMINUM,1,LED,135,122,MARCH ROAD,Kanata
1016,2057658,,2018/11/13 00:00:00+00,11/13/2018,November,2018,17-Dec,GCJ220H 3K T3, ,SL,1.8,9.1,HAMPTON,1,LED,68,61,AMBERLAKES DRIVE,Kanata-Katimavik-Hazeldean
